country,city,state,name,address,joined,type_of_office,price,time_period
brazil,belo-horizonte,,work-point,"207 Rua Paul Bouthilier, 1, Belo Horizonte, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 270.00,1 Week
brazil,belo-horizonte,,work-point,"207 Rua Paul Bouthilier, 1, Belo Horizonte, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 647.00,1 Month
brazil,rio-de-janeiro,,fala-brasil-house-coworking,"Rua Gago Coutinho , 6, 20, Rio de Janeiro, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 30.00,1 Day
brazil,rio-de-janeiro,,fala-brasil-house-coworking,"Rua Gago Coutinho , 6, 20, Rio de Janeiro, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 200.00,1 Week
brazil,rio-de-janeiro,,fala-brasil-house-coworking,"Rua Gago Coutinho , 6, 20, Rio de Janeiro, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 400.00,1 Month
brazil,sao-paulo,,wit-working,"28 Rua Angeolino Caseli, Sao Paulo, Brazil",November 2017,Membership: Dedicated Desk,BRL 500.00,1 Month
brazil,sao-paulo,,wit-working,"28 Rua Angeolino Caseli, Sao Paulo, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 10.00,1 Hour
brazil,sao-paulo,,wit-working,"28 Rua Angeolino Caseli, Sao Paulo, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 60.00,1 Day
brazil,sao-paulo,,wit-working,"28 Rua Angeolino Caseli, Sao Paulo, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 255.00,1 Week
brazil,fortaleza,,elephant-coworking,"Rua Barbosa de Freitas, 1741, Fortaleza, Brazil",September 2017,Membership: Hot Desk / Open Plan,BRL 445.00,1 Month
brazil,curitiba,,impact-hub-curitiba,"60 Rua Fernando Amaro, Curitiba, Brazil",November 2017,Membership: Private Office,BRL 400.00,1 Month
brazil,curitiba,,impact-hub-curitiba,"60 Rua Fernando Amaro, Curitiba, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 60.00,1 Day
brazil,curitiba,,impact-hub-curitiba,"60 Rua Fernando Amaro, Curitiba, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 200.00,1 Week
brazil,curitiba,,impact-hub-curitiba,"60 Rua Fernando Amaro, Curitiba, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 400.00,1 Month
brazil,brasilia,,co-piloto,"s/n SCLS 306 Bloco A, Brasilia, Brazil",October 2017,Membership: Private Office,BRL 2300.00,1 Month
brazil,brasilia,,co-piloto,"s/n SCLS 306 Bloco A, Brasilia, Brazil",October 2017,Membership: Private Office,BRL 1800.00,1 Month
brazil,brasilia,,co-piloto,"s/n SCLS 306 Bloco A, Brasilia, Brazil",October 2017,Membership: Private Office,BRL 1600.00,1 Month
brazil,brasilia,,co-piloto,"s/n SCLS 306 Bloco A, Brasilia, Brazil",October 2017,Membership: Dedicated Desk,BRL 900.00,1 Month
brazil,brasilia,,co-piloto,"s/n SCLS 306 Bloco A, Brasilia, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 60.00,1 Day
brazil,brasilia,,co-piloto,"s/n SCLS 306 Bloco A, Brasilia, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 495.00,1 Month
brazil,curitiba,,opera-coworking,"1881, Avenida João Gualberto, 3 andar, Curitiba, Brazil",February 2019,Membership: Hot Desk / Open Plan,BRL 8.00,1 Hour
brazil,curitiba,,opera-coworking,"1881, Avenida João Gualberto, 3 andar, Curitiba, Brazil",February 2019,Membership: Hot Desk / Open Plan,BRL 60.00,1 Day
brazil,sao-paulo,,osmose-coworking-unidade-24-7,"1703 Rua Flórida, 6th floor, Sao Paulo, Brazil",August 2017,Membership: Dedicated Desk,BRL 760.00,1 Month
brazil,sao-paulo,,osmose-coworking-unidade-24-7,"1703 Rua Flórida, 6th floor, Sao Paulo, Brazil",August 2017,Membership: Dedicated Desk,BRL 680.00 /month,6 Months
brazil,sao-paulo,,osmose-coworking-unidade-24-7,"1703 Rua Flórida, 6th floor, Sao Paulo, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 80.00,1 Day
brazil,sao-paulo,,osmose-coworking-unidade-24-7,"1703 Rua Flórida, 6th floor, Sao Paulo, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 560.00,1 Month
brazil,florianopolis,,o-sitio-arte-educacao-coworking,"53 Rua Francisca Luísa Viêira, Florianopolis, Brazil",January 2018,Membership: Hot Desk / Open Plan,BRL 50.00,1 Day
brazil,florianopolis,,o-sitio-arte-educacao-coworking,"53 Rua Francisca Luísa Viêira, Florianopolis, Brazil",January 2018,Membership: Hot Desk / Open Plan,BRL 600.00,1 Month
brazil,rio-de-janeiro,,porto-virtual,"106 Rua Quinze de Novembro, 307, Rio de Janeiro, Brazil",November 2017,Membership: Dedicated Desk,BRL 599.00,1 Month
brazil,rio-de-janeiro,,porto-virtual,"106 Rua Quinze de Novembro, 307, Rio de Janeiro, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 80.00,1 Day
brazil,rio-de-janeiro,,tribo-coworking,"Avenida Nossa Senhora de Copacabana, 1072 - Cobertura - Copacabana, Rio de Janeiro - RJ, 22060-002, Brasil, Rio de Janeiro, Brazil",October 2016,Membership: Hot Desk / Open Plan,BRL 80.00,1 Day
brazil,rio-de-janeiro,,tribo-coworking,"Avenida Nossa Senhora de Copacabana, 1072 - Cobertura - Copacabana, Rio de Janeiro - RJ, 22060-002, Brasil, Rio de Janeiro, Brazil",October 2016,Membership: Hot Desk / Open Plan,BRL 300.00,1 Week
