country,city,state,name,address,joined,type_of_office,price,time_period
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Private Office,USD 525.00,1 Month
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Private Office,USD 475.00 /month,1 Year
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Private Office,USD 725.00,1 Month
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Private Office,USD 675.00 /month,1 Year
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Private Office,USD 875.00,1 Month
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Private Office,USD 825.00 /month,1 Year
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Dedicated Desk,USD 235.00,1 Month
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,charlotte,north-carolina,c3lab,"2525 Distribution St, Charlotte, United States",July 2019,Membership: Hot Desk / Open Plan,USD 150.00,1 Month
united-states,denver,colorado,confluence-small-business-collective,"75 Waneka Parkway, Denver, United States",June 2016,Membership: Dedicated Desk,USD 300.00,1 Month
united-states,denver,colorado,confluence-small-business-collective,"75 Waneka Parkway, Denver, United States",June 2016,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,denver,colorado,confluence-small-business-collective,"75 Waneka Parkway, Denver, United States",June 2016,Membership: Hot Desk / Open Plan,USD 75.00,1 Week
united-states,denver,colorado,confluence-small-business-collective,"75 Waneka Parkway, Denver, United States",June 2016,Membership: Hot Desk / Open Plan,USD 130.00,1 Month
united-states,san-francisco,california,t-jump,"625 Market St , San Francisco, United States",March 2019,Membership: Hot Desk / Open Plan,USD 500.00,1 Month
united-states,detroit,michigan,i3detroit,"1481 Wordsworth St, Ferndale, Detroit, United States",February 2018,Membership: Hot Desk / Open Plan,USD 59.00,1 Month
united-states,detroit,michigan,i3detroit,"1481 Wordsworth St, Ferndale, Detroit, United States",February 2018,Membership: Hot Desk / Open Plan,USD 54.08 /month,1 Year
united-states,stamford,connecticut,workpoint-stamford,"290 Harbor Dr, Stamford, United States",October 2016,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,stamford,connecticut,workpoint-stamford,"290 Harbor Dr, Stamford, United States",October 2016,Membership: Hot Desk / Open Plan,USD 300.00,1 Month
united-states,springfield,missouri,originate,"313 South Avenue, Springfield, United States",December 2016,Membership: Private Office,USD 395.00,1 Month
united-states,springfield,missouri,originate,"313 South Avenue, Springfield, United States",December 2016,Membership: Hot Desk / Open Plan,USD 200.00,1 Month
united-states,woodbridge,new-jersey,the-coworking-space,"97 Main St, 203, Woodbridge, United States",October 2016,Membership: Private Office,USD 1500.00,1 Month
united-states,woodbridge,new-jersey,the-coworking-space,"97 Main St, 203, Woodbridge, United States",October 2016,Membership: Private Office,USD 1950.00,1 Month
united-states,woodbridge,new-jersey,the-coworking-space,"97 Main St, 203, Woodbridge, United States",October 2016,Membership: Private Office,USD 1950.00,1 Month
united-states,woodbridge,new-jersey,the-coworking-space,"97 Main St, 203, Woodbridge, United States",October 2016,Membership: Dedicated Desk,USD 350.00,1 Month
united-states,woodbridge,new-jersey,the-coworking-space,"97 Main St, 203, Woodbridge, United States",October 2016,Membership: Hot Desk / Open Plan,USD 200.00,1 Week
united-states,woodbridge,new-jersey,the-coworking-space,"97 Main St, 203, Woodbridge, United States",October 2016,Membership: Hot Desk / Open Plan,USD 225.00,1 Month
united-states,lake-forest,illinois,lifeworking-coworking-space,"717 Forest Avenue, 2nd Floor, Lake Forest, United States",April 2018,Membership: Hot Desk / Open Plan,USD 40.00,1 Day
united-states,lake-forest,illinois,lifeworking-coworking-space,"717 Forest Avenue, 2nd Floor, Lake Forest, United States",April 2018,Membership: Hot Desk / Open Plan,USD 300.00,1 Month
united-states,jackson,mississippi,coalesce,"109 North State St., Jackson, United States",July 2016,Membership: Hot Desk / Open Plan,USD 300.00,1 Month
united-states,nyc,new-york,bat-haus,"279 Starr St, Brooklyn, NYC, United States",January 2017,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,nyc,new-york,bat-haus,"279 Starr St, Brooklyn, NYC, United States",January 2017,Membership: Hot Desk / Open Plan,USD 225.00,1 Month
united-states,rye,new-york,serendipity-labs-rye,"80 Theodore Fremd Avenue, Rye, United States",February 2017,Membership: Hot Desk / Open Plan,USD 49.00,1 Day
united-states,rye,new-york,serendipity-labs-rye,"80 Theodore Fremd Avenue, Rye, United States",February 2017,Membership: Hot Desk / Open Plan,USD 199.00,1 Week
united-states,rye,new-york,serendipity-labs-rye,"80 Theodore Fremd Avenue, Rye, United States",February 2017,Membership: Hot Desk / Open Plan,USD 499.00,1 Month
united-states,orlando,florida,scribble-space,"13790 Bridgewater Crossings Blvd, Orlando, United States",July 2016,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,orlando,florida,scribble-space,"13790 Bridgewater Crossings Blvd, Orlando, United States",July 2016,Membership: Hot Desk / Open Plan,USD 275.00,1 Month
united-states,naples,florida,venture-x,"9128 Strada Place, Naples, United States",April 2017,Membership: Dedicated Desk,USD 565.00,1 Month
united-states,naples,florida,venture-x,"9128 Strada Place, Naples, United States",April 2017,Membership: Hot Desk / Open Plan,USD 295.00,1 Month
united-states,nyc,new-york,nomadworks,"1216 Broadway, NYC, United States",August 2017,Membership: Dedicated Desk,USD 500.00,1 Month
united-states,nyc,new-york,nomadworks,"1216 Broadway, NYC, United States",August 2017,Membership: Hot Desk / Open Plan,USD 40.00,1 Day
united-states,nyc,new-york,nomadworks,"1216 Broadway, NYC, United States",August 2017,Membership: Hot Desk / Open Plan,USD 400.00,1 Month
united-states,tampa,florida,tampa-bay-wave,"500 East Kennedy Boulevard, 3rd Floor, Tampa, United States",February 2019,Membership: Dedicated Desk,USD 250.00,1 Month
united-states,tampa,florida,tampa-bay-wave,"500 East Kennedy Boulevard, 3rd Floor, Tampa, United States",February 2019,Membership: Hot Desk / Open Plan,USD 15.00,1 Day
united-states,tampa,florida,tampa-bay-wave,"500 East Kennedy Boulevard, 3rd Floor, Tampa, United States",February 2019,Membership: Hot Desk / Open Plan,USD 175.00,1 Month
united-states,miami,florida,miamishared,"990 Biscayne Blvd., 5th floor Offices, Miami, United States",June 2016,Membership: Hot Desk / Open Plan,USD 35.00,1 Day
united-states,miami,florida,miamishared,"990 Biscayne Blvd., 5th floor Offices, Miami, United States",June 2016,Membership: Hot Desk / Open Plan,USD 75.00,1 Month
united-states,nyc,new-york,rise-new-york,"43 W 23rd St, NYC, United States",January 2018,Membership: Hot Desk / Open Plan,USD 400.00,1 Month
united-states,cincinnati,ohio,union-hall,"1311 Vine Street, Cincinnati, United States",May 2018,Membership: Dedicated Desk,USD 500.00,1 Month
united-states,cincinnati,ohio,union-hall,"1311 Vine Street, Cincinnati, United States",May 2018,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,grapevine,texas,the-lift-office,"1090 Texan Trl, Grapevine, United States",January 2018,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,grapevine,texas,the-lift-office,"1090 Texan Trl, Grapevine, United States",January 2018,Membership: Hot Desk / Open Plan,USD 200.00,1 Month
united-states,arlington,virginia,coworkcafe,"2719 Wilson Blvd, Arlington, United States",June 2016,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,arlington,virginia,coworkcafe,"2719 Wilson Blvd, Arlington, United States",June 2016,Membership: Hot Desk / Open Plan,USD 150.00,1 Month
united-states,south-lake-tahoe,california,cowork-tahoe,"3079 Harrison Avenue, South Lake Tahoe, United States",July 2016,Membership: Dedicated Desk,USD 250.00,1 Month
united-states,south-lake-tahoe,california,cowork-tahoe,"3079 Harrison Avenue, South Lake Tahoe, United States",July 2016,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,south-lake-tahoe,california,cowork-tahoe,"3079 Harrison Avenue, South Lake Tahoe, United States",July 2016,Membership: Hot Desk / Open Plan,USD 100.00,1 Week
united-states,south-lake-tahoe,california,cowork-tahoe,"3079 Harrison Avenue, South Lake Tahoe, United States",July 2016,Membership: Hot Desk / Open Plan,USD 250.00,1 Month
united-states,boulder,colorado,impact-hub-boulder,"1877 Broadway, 100, Boulder, United States",October 2016,Membership: Hot Desk / Open Plan,USD 30.00,1 Day
united-states,boulder,colorado,impact-hub-boulder,"1877 Broadway, 100, Boulder, United States",October 2016,Membership: Hot Desk / Open Plan,USD 295.00,1 Month
united-states,dayton,ohio,nucleus-coshare,"411 E 5th St, Dayton, United States",June 2016,Membership: Hot Desk / Open Plan,USD 15.00,1 Day
united-states,dayton,ohio,nucleus-coshare,"411 E 5th St, Dayton, United States",June 2016,Membership: Hot Desk / Open Plan,USD 150.00,1 Month
united-states,fort-collins,colorado,galvanize-fort-collins,"242 Linden St., Fort Collins, United States",December 2018,Membership: Hot Desk / Open Plan,USD 349.00,1 Month
united-states,paonia,colorado,hive-paonia,"130 Grand Avenue, Paonia, United States",April 2018,Membership: Private Office,USD 250.00,1 Month
united-states,paonia,colorado,hive-paonia,"130 Grand Avenue, Paonia, United States",April 2018,Membership: Private Office,USD 325.00,1 Month
united-states,paonia,colorado,hive-paonia,"130 Grand Avenue, Paonia, United States",April 2018,Membership: Private Office,USD 375.00,1 Month
united-states,paonia,colorado,hive-paonia,"130 Grand Avenue, Paonia, United States",April 2018,Membership: Private Office,USD 375.00,1 Month
united-states,paonia,colorado,hive-paonia,"130 Grand Avenue, Paonia, United States",April 2018,Membership: Dedicated Desk,USD 195.00,1 Month
united-states,paonia,colorado,hive-paonia,"130 Grand Avenue, Paonia, United States",April 2018,Membership: Hot Desk / Open Plan,USD 17.00,1 Day
united-states,paonia,colorado,hive-paonia,"130 Grand Avenue, Paonia, United States",April 2018,Membership: Hot Desk / Open Plan,USD 147.00,1 Month
united-states,cheyenne,wyoming,the-second-floor,"1607 Capitol Avenue, Cheyenne, United States",July 2016,Membership: Hot Desk / Open Plan,USD 175.00,1 Month
united-states,miami,florida,tambo-works,"5790 Sunset Dr, Miami, United States",February 2018,Membership: Private Office,USD 1100.00,1 Month
united-states,miami,florida,tambo-works,"5790 Sunset Dr, Miami, United States",February 2018,Membership: Private Office,USD 2.00,1 Month
united-states,miami,florida,tambo-works,"5790 Sunset Dr, Miami, United States",February 2018,Membership: Private Office,USD 1100.00,1 Month
united-states,miami,florida,tambo-works,"5790 Sunset Dr, Miami, United States",February 2018,Membership: Private Office,USD 2.00,1 Month
united-states,miami,florida,tambo-works,"5790 Sunset Dr, Miami, United States",February 2018,Membership: Dedicated Desk,USD 450.00,1 Month
united-states,miami,florida,tambo-works,"5790 Sunset Dr, Miami, United States",February 2018,Membership: Hot Desk / Open Plan,USD 30.00,1 Day
united-states,miami,florida,tambo-works,"5790 Sunset Dr, Miami, United States",February 2018,Membership: Hot Desk / Open Plan,USD 275.00,1 Month
united-states,pittsburgh,pennsylvania,5thave-studio,"1936 Fifth Avenue, Pittsburgh, United States",February 2019,Membership: Private Office,USD 1950.00,1 Month
united-states,pittsburgh,pennsylvania,5thave-studio,"1936 Fifth Avenue, Pittsburgh, United States",February 2019,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,pittsburgh,pennsylvania,5thave-studio,"1936 Fifth Avenue, Pittsburgh, United States",February 2019,Membership: Hot Desk / Open Plan,USD 300.00,1 Month
united-states,salem,massachusetts,launchsalem,"221 Essex St, 4th &amp; 5th Floor, Salem, United States",October 2016,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,salem,massachusetts,launchsalem,"221 Essex St, 4th &amp; 5th Floor, Salem, United States",October 2016,Membership: Hot Desk / Open Plan,USD 100.00,1 Week
united-states,salem,massachusetts,launchsalem,"221 Essex St, 4th &amp; 5th Floor, Salem, United States",October 2016,Membership: Hot Desk / Open Plan,USD 150.00,1 Month
united-states,sioux-city,iowa,springboard-coworking,"700 4th St, Sioux City, United States",February 2019,Membership: Hot Desk / Open Plan,USD 10.00,1 Day
united-states,sioux-city,iowa,springboard-coworking,"700 4th St, Sioux City, United States",February 2019,Membership: Hot Desk / Open Plan,USD 150.00,1 Month
united-states,athens,ohio,athensworks,"29 E Carpenter St, Athens, United States",October 2016,Membership: Hot Desk / Open Plan,USD 100.00,1 Month
united-states,johnson-city,tennessee,spark-plaza,"201 East Main Street, Suite 2, Johnson City, United States",January 2017,Membership: Hot Desk / Open Plan,USD 350.00,1 Month
united-states,edina,minnesota,the-reserve,"4940 W 77th Street, Edina, United States",May 2016,Membership: Hot Desk / Open Plan,USD 50.00,1 Day
united-states,edina,minnesota,the-reserve,"4940 W 77th Street, Edina, United States",May 2016,Membership: Hot Desk / Open Plan,USD 450.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Private Office,USD 800.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Private Office,USD 800.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Private Office,USD 800.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Private Office,USD 1200.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Private Office,USD 800.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Private Office,USD 1200.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Private Office,USD 1200.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Dedicated Desk,USD 395.00,1 Month
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Hot Desk / Open Plan,USD 25.00,1 Hour
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Hot Desk / Open Plan,USD 100.00,1 Week
united-states,flagstaff,arizona,click-co-work,"111 East Aspen Avenue, Flagstaff, United States",March 2017,Membership: Hot Desk / Open Plan,USD 395.00,1 Month
united-states,holly-springs,north-carolina,coworking-station,"104 W Ballentine St, Holly Springs, United States",June 2016,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,holly-springs,north-carolina,coworking-station,"104 W Ballentine St, Holly Springs, United States",June 2016,Membership: Hot Desk / Open Plan,USD 80.00,1 Week
united-states,holly-springs,north-carolina,coworking-station,"104 W Ballentine St, Holly Springs, United States",June 2016,Membership: Hot Desk / Open Plan,USD 199.00,1 Month
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Private Office,USD 1000.00,1 Month
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Private Office,USD 950.00 /month,3 Months
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Private Office,USD 900.00 /month,6 Months
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Private Office,USD 880.00 /month,1 Year
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Dedicated Desk,USD 350.00,1 Month
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Dedicated Desk,USD 332.50 /month,3 Months
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Dedicated Desk,USD 301.00 /month,6 Months
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Hot Desk / Open Plan,USD 120.00,1 Week
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Hot Desk / Open Plan,USD 230.00,1 Month
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Hot Desk / Open Plan,USD 220.80 /month,3 Months
united-states,austin,texas,createscape-coworking,"701 Tillery St, #12, Austin, United States",August 2016,Membership: Hot Desk / Open Plan,USD 200.10 /month,6 Months
united-states,coppell,texas,collective-office,"537 Houston Street, Coppell, United States",July 2016,Membership: Hot Desk / Open Plan,USD 200.00,1 Month
united-states,orlando,florida,sbrubbles,"14 E Washington St, Orlando, United States",July 2016,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,orlando,florida,sbrubbles,"14 E Washington St, Orlando, United States",July 2016,Membership: Hot Desk / Open Plan,USD 325.00,1 Month
united-states,fort-collins,colorado,digital-workshop-center,"324 Remington Street, Fort Collins, United States",July 2016,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,fort-collins,colorado,digital-workshop-center,"324 Remington Street, Fort Collins, United States",July 2016,Membership: Hot Desk / Open Plan,USD 55.00,1 Month
united-states,arlington,texas,pinnstation,"201 East Abram Street, Arlington, United States",August 2016,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,arlington,texas,pinnstation,"201 East Abram Street, Arlington, United States",August 2016,Membership: Hot Desk / Open Plan,USD 60.00,1 Week
united-states,arlington,texas,pinnstation,"201 East Abram Street, Arlington, United States",August 2016,Membership: Hot Desk / Open Plan,USD 200.00,1 Month
united-states,asheville,north-carolina,mojo-coworking,"60 North Market Street, C200, Asheville, United States",September 2016,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,asheville,north-carolina,mojo-coworking,"60 North Market Street, C200, Asheville, United States",September 2016,Membership: Hot Desk / Open Plan,USD 300.00,1 Month
united-states,denver,colorado,creative-density,"1719 Emerson Street, Denver, United States",May 2016,Membership: Private Office,USD 775.00,1 Month
united-states,denver,colorado,creative-density,"1719 Emerson Street, Denver, United States",May 2016,Membership: Private Office,USD 550.00,1 Month
united-states,denver,colorado,creative-density,"1719 Emerson Street, Denver, United States",May 2016,Membership: Dedicated Desk,USD 300.00,1 Month
united-states,denver,colorado,creative-density,"1719 Emerson Street, Denver, United States",May 2016,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,denver,colorado,creative-density,"1719 Emerson Street, Denver, United States",May 2016,Membership: Hot Desk / Open Plan,USD 75.00,1 Week
united-states,denver,colorado,creative-density,"1719 Emerson Street, Denver, United States",May 2016,Membership: Hot Desk / Open Plan,USD 250.00,1 Month
united-states,hamden,connecticut,1253-whitney,"1253 Whitney Avenue, Hamden, United States",March 2019,Membership: Hot Desk / Open Plan,USD 15.00,1 Day
united-states,hamden,connecticut,1253-whitney,"1253 Whitney Avenue, Hamden, United States",March 2019,Membership: Hot Desk / Open Plan,USD 75.00,1 Month
united-states,houston,texas,office-in-america,"6200 Savoy Drive, 630, Houston, United States",October 2016,Membership: Private Office,USD 970.00,1 Month
united-states,houston,texas,office-in-america,"6200 Savoy Drive, 630, Houston, United States",October 2016,Membership: Private Office,USD 859.00,1 Month
united-states,houston,texas,office-in-america,"6200 Savoy Drive, 630, Houston, United States",October 2016,Membership: Dedicated Desk,USD 538.00,1 Month
united-states,houston,texas,office-in-america,"6200 Savoy Drive, 630, Houston, United States",October 2016,Membership: Hot Desk / Open Plan,USD 19.99,1 Hour
united-states,houston,texas,office-in-america,"6200 Savoy Drive, 630, Houston, United States",October 2016,Membership: Hot Desk / Open Plan,USD 109.00,1 Day
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 785.00,1 Month
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 745.75 /month,3 Months
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 706.50 /month,6 Months
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 667.25 /month,1 Year
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 628.00 /month,2 Years
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 785.00,1 Month
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 745.75 /month,3 Months
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 706.50 /month,6 Months
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 667.25 /month,1 Year
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 628.00 /month,2 Years
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 2100.00,1 Month
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 1995.00 /month,1 Year
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Private Office,USD 1890.00 /month,2 Years
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Dedicated Desk,USD 375.00,1 Month
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Hot Desk / Open Plan,USD 100.00,1 Week
united-states,los-angeles,california,the-muse-rooms-noho,"4942 Vineland Avenue, Los Angeles, United States",September 2016,Membership: Hot Desk / Open Plan,USD 250.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 995.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 945.25 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1350.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1282.50 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1600.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1520.00 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 5995.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 5695.25 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 795.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 755.25 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1750.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1662.50 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1950.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 1852.50 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 2400.00,1 Month
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Private Office,USD 2280.00 /month,1 Year
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Hot Desk / Open Plan,USD 25.00,1 Day
united-states,atlanta,georgia,sharedspace-dunwoody,"4470 Chamblee Dunwoody Road, Atlanta, United States",March 2019,Membership: Hot Desk / Open Plan,USD 250.00,1 Month
united-states,nyc,new-york,spacious-la-sirena,"88 9th Avenue, NYC, United States",October 2016,Membership: Hot Desk / Open Plan,USD 29.00,1 Day
united-states,nyc,new-york,spacious-la-sirena,"88 9th Avenue, NYC, United States",October 2016,Membership: Hot Desk / Open Plan,USD 95.00,1 Month
united-states,los-angeles,california,el-camp,"2150 Park Place, Los Angeles, United States",October 2016,Membership: Hot Desk / Open Plan,USD 500.00,1 Month
united-states,park-city,utah,the-office-coworking-park-city,"1182 Center Drive, Park City, United States",January 2017,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,park-city,utah,the-office-coworking-park-city,"1182 Center Drive, Park City, United States",January 2017,Membership: Hot Desk / Open Plan,USD 160.00,1 Month
united-states,nyc,new-york,gravel-road-business-executive-suites,"817 Broadway, NYC, United States",March 2019,Membership: Hot Desk / Open Plan,USD 1100.00,1 Month
united-states,south-lake-tahoe,california,tahoe-mountain-lab-lakeview-lodge,"3860 Saddle Road, South Lake Tahoe, United States",March 2017,Membership: Hot Desk / Open Plan,USD 30.00,1 Day
united-states,south-lake-tahoe,california,tahoe-mountain-lab-lakeview-lodge,"3860 Saddle Road, South Lake Tahoe, United States",March 2017,Membership: Hot Desk / Open Plan,USD 275.00,1 Month
united-states,des-moines,iowa,the-depot,"901 Thomas Beck Road, Des Moines, United States",February 2017,Membership: Dedicated Desk,USD 150.00,1 Month
united-states,des-moines,iowa,the-depot,"901 Thomas Beck Road, Des Moines, United States",February 2017,Membership: Hot Desk / Open Plan,USD 100.00,1 Month
united-states,tampa,florida,cocreativ-downtown-tampa,"601 North Ashley Drive, 1100, Tampa, United States",January 2020,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
united-states,tampa,florida,cocreativ-downtown-tampa,"601 North Ashley Drive, 1100, Tampa, United States",January 2020,Membership: Hot Desk / Open Plan,USD 197.00,1 Month
united-states,chicago,illinois,novel-coworking-2,"318 West Adams Street, Chicago, United States",September 2019,Membership: Private Office,USD 999.00,1 Month
united-states,chicago,illinois,novel-coworking-2,"318 West Adams Street, Chicago, United States",September 2019,Membership: Private Office,USD 949.05 /month,1 Year
united-states,chicago,illinois,novel-coworking-2,"318 West Adams Street, Chicago, United States",September 2019,Membership: Private Office,USD 899.10 /month,18 Months
united-states,chicago,illinois,novel-coworking-2,"318 West Adams Street, Chicago, United States",September 2019,Membership: Private Office,USD 799.20 /month,2 Years
